2018/04/07 21:06:49,347 [INFO] [main] DeviceClientConfig - DeviceClientConfig object is created successfully with IotHubName=Trenes, deviceID=myFirstJavaDevice , method name is <init> 
2018/04/07 21:06:49,363 [INFO] [main] DeviceClient - DeviceClient object is created successfully, method name is <init> 
2018/04/07 21:06:50,869 [INFO] [pool-2-thread-1] Message - Setting message property with name=temperatureAlert and value=false, method name is setProperty 
2018/04/07 21:06:50,872 [INFO] [pool-2-thread-1] DeviceClient - Message with messageid 0c545fae-1cc7-47de-8be4-c95c7bd7d7e4 along with callback and callbackcontext is added to the queue, method name is sendEventAsync 
2018/04/07 21:06:51,881 [INFO] [pool-2-thread-1] Message - Setting message property with name=temperatureAlert and value=false, method name is setProperty 
2018/04/07 21:06:51,884 [INFO] [pool-2-thread-1] DeviceClient - Message with messageid f8e9b488-076a-4589-9dfc-c18bdebbcd65 along with callback and callbackcontext is added to the queue, method name is sendEventAsync 
2018/04/07 21:06:52,889 [INFO] [pool-2-thread-1] Message - Setting message property with name=temperatureAlert and value=false, method name is setProperty 
2018/04/07 21:06:52,890 [INFO] [pool-2-thread-1] DeviceClient - Message with messageid bfc98ec4-7624-4f8e-96aa-10483e88a4a0 along with callback and callbackcontext is added to the queue, method name is sendEventAsync 
2018/04/07 21:06:53,898 [INFO] [pool-2-thread-1] Message - Setting message property with name=temperatureAlert and value=false, method name is setProperty 
2018/04/07 21:06:53,899 [INFO] [pool-2-thread-1] DeviceClient - Message with messageid 655d98ad-c34f-4f80-bf97-bc9bd070c6df along with callback and callbackcontext is added to the queue, method name is sendEventAsync 
2018/04/07 21:06:54,907 [INFO] [pool-2-thread-1] Message - Setting message property with name=temperatureAlert and value=false, method name is setProperty 
2018/04/07 21:06:54,908 [INFO] [pool-2-thread-1] DeviceClient - Message with messageid 81260a33-af5a-46ee-a4e3-ff925eec575b along with callback and callbackcontext is added to the queue, method name is sendEventAsync 
2018/04/07 21:06:55,918 [INFO] [pool-2-thread-1] Message - Setting message property with name=temperatureAlert and value=false, method name is setProperty 
2018/04/07 21:06:55,919 [INFO] [pool-2-thread-1] DeviceClient - Message with messageid c034777f-1c72-4740-9d9b-bb10cfa2c715 along with callback and callbackcontext is added to the queue, method name is sendEventAsync 
2018/04/07 21:06:56,928 [INFO] [pool-2-thread-1] Message - Setting message property with name=temperatureAlert and value=false, method name is setProperty 
